Segment,Sex,#,city,run_frequency,where_run_1,where_run_2,where_run_3,where_run_4,running_experience,why_run_1,why_run_2,why_run_3,why_run_4,why_run_5,why_run_6,why_run_7,why_run_8,why_run_9,why_run_10,why_run_11,why_run_12,why_run_13,why_run_14,why_run_15,interest_buy_shoes_1,interest_buy_shoes_2,interest_buy_shoes_3,interest_buy_shoes_4,interest_buy_shoes_5,interest_buy_shoes_6,type_shoes,three_words_1,three_words_2,three_words_3,expected_spending,difference_easy_to_tell,difference_running_shoes_trainers_1,difference_running_shoes_trainers_2,difference_running_shoes_trainers_3,difference_running_shoes_trainers_4,difference_running_shoes_trainers_5,difference_running_shoes_trainers_6,difference_running_shoes_trainers_7,difference_running_shoes_trainers_8,confidence_right_shoes,more_confident_if_1,more_confident_if_2,more_confident_if_3,more_confident_if_4,more_confident_if_5,more_confident_if_6,more_confident_if_7,more_confident_if_8,more_confident_if_9,more_confident_if_10,know_which_features, most_important_choosing_1, most_important_choosing_2, most_important_choosing_3, most_important_choosing_4, most_important_choosing_5, most_important_choosing_6, most_important_choosing_7, most_important_choosing_8, most_important_choosing_9, most_important_choosing_10, most_important_choosing_11,too_expensive,is_a_hassle,need_expert_advice,benefits_over_trainers,thanks,Score,Start Date (UTC),Submit Date (UTC),Network ID
Young Professional,Male,vtlswjn672u3lrtjfvtlsuu40bol6qb8,Paris,3 to 4 times a week,,Road,,,Advanced,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,"This helps me to focus on my diet, my nutrition and my hydration.",This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,,"I like to collect new equipment, clothes, shoes, etc.",I love discovering new environments.,This allows me to spend time with friends.,It's a way for me to contribute to a cause / charity which is of importance to me.,,I like to improve myself and learn new skills.,,,I need to replace old shoes.,I want to race.,,,Running Shoes,Good,Sole,,Between 100 and 150 €,Totally Agree,Design / Style,,,Technology,Footwear / Comfort,,"Benefits (eg. Speed, movement and comfort)",,Neither agree nor disagree,,,,,It was clear that they corresponded best to my needs,,,A (e) ami (e) or even thought I had made the right choice,I knew they were best suited to help me achieve my goals,,Agree,,,,Shock absorption,Lightness,,Bounce and cushioning,,,,,Disagree,Agree,Agree,Totally Agree,0,0,21/02/2020 14:01,21/02/2020 14:05,9116f787e9
Young Professional,Male,dkov5fad8ta2cuty5ddkov5quhw73q2e,Poitiers,5 times a week or more,,,,Track,Advanced,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,I like to measure myself against others.,,,This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,,,,,,,I like to improve myself and learn new skills.,"I want to improve my performance (eg. Speed, distance, endurance).",,I need to replace old shoes.,,,,Running Shoes,Light,Dynamic,Steady,Between 50 and 100 €,Totally Agree,,,,,,,"Benefits (eg. Speed, movement and comfort)",,Agree,I saw a respected professional adopt the,,,I had a positive shopping experience this brand in the past,,,I knew they were the most comfortable / provided the best footwear,,,,Agree,,,,,Lightness,,,Price,,Adaptation to a given surface (eg. Track rather than road),,Neither agree nor disagree,Agree,Disagree,Agree,1,0,21/02/2020 13:35,21/02/2020 13:42,72ebee0999
Young Professional,Male,4izqz4jfjg6zgmvr4iz4poflc2t9wq97,Saint Martin de Crau,3 to 4 times a week,,Road,,,Advanced,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,"This helps me to focus on my diet, my nutrition and my hydration.",This helps me feel confident (e) and stronger (e).,,,,,,,,,,"I want to improve my performance (eg. Speed, distance, endurance).",,I need to replace old shoes.,,,,Running Shoes,Cushioning,Stability,Comfort,Between 50 and 100 €,Agree,Design / Style,,,,,,"Benefits (eg. Speed, movement and comfort)",,Totally Agree,,,,I had a positive shopping experience this brand in the past,It was clear that they corresponded best to my needs,,,,I knew they were best suited to help me achieve my goals,,Agree,,,,Shock absorption,Lightness,,Bounce and cushioning,,,,,Agree,Agree,Disagree,Agree,1,0,21/02/2020 13:28,21/02/2020 13:34,eee7d51df4
Young Professional,Male,5mbmib78a3knufrbcmvsl7lh5mbmib7s,Arudy,3 to 4 times a week,,,Trail,,Intermediate,,,,,,,,,,,,,,,I like to improve myself and learn new skills.,"I want to improve my performance (eg. Speed, distance, endurance).",,,,,,Running Shoes,Comfortable,Soft,Light,Between 150 and 200 €,Totally Agree,,,,Technology,,,,,Totally Agree,I saw a respected professional adopt the,,,,It was clear that they corresponded best to my needs,,I knew they were the most comfortable / provided the best footwear,,,,Totally Agree,,,Durability,Shock absorption,Lightness,,,,,,,not agree at all,not agree at all,Totally Agree,Totally Agree,1,0,21/02/2020 12:22,21/02/2020 12:26,97354a0a0f
Young Professional,Male,qhgehp5yqsk3aeqmqhgexkdait30v1mu,Vannes,3 to 4 times a week,,Road,Trail,,Advanced,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,,,,,,,I love discovering new environments.,This allows me to spend time with friends.,,,I like to improve myself and learn new skills.,"I want to improve my performance (eg. Speed, distance, endurance).",,I need to replace old shoes.,,,,Running Shoes,Comfortable,Lightweight,And,Between 100 and 150 €,Totally Agree,,,,Technology,,,"Benefits (eg. Speed, movement and comfort)",,Totally Agree,,,,I had a positive shopping experience this brand in the past,It was clear that they corresponded best to my needs,,I knew they were the most comfortable / provided the best footwear,,,,Totally Agree,,,,,Lightness,,,,Fit and comfort,Adaptation to a given surface (eg. Track rather than road),,Neither agree nor disagree,Totally Agree,Neither agree nor disagree,Totally Agree,1,0,21/02/2020 12:13,21/02/2020 12:16,9178e48182
Young Professional,Male,h91yvirn58xsgof3b5p0h91yviyquu30,Paris,3 to 4 times a week,,Road,,,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,,,,This helps me to improve my physical appearance.,,,,,,,,,,I need to replace old shoes.,,,,Running Shoes,Comfort,,Resistance,Between 100 and 150 €,Agree,,,,Technology,Footwear / Comfort,,,,Agree,I saw a respected professional adopt the,,,,,,I knew they were the most comfortable / provided the best footwear,,I knew they were best suited to help me achieve my goals,,Agree,,,,Shock absorption,Lightness,,Bounce and cushioning,,,,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,1,0,21/02/2020 12:06,21/02/2020 12:09,7dcdfa4e7a
Young Professional,Male,w51nsbxko6te30oeyeflbcw51nsbcn5z,LAPUGNOY,1 to 2 times per week,,Road,Trail,,Intermediate,It helps me keep my mind and body in shape.,,,,,This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,,,,,,,I like to improve myself and learn new skills.,"I want to improve my performance (eg. Speed, distance, endurance).",,I need to replace old shoes.,,,,Sport shoes,Pulse,Amortized,Comfort,Between 100 and 150 €,Totally Agree,,,,Technology,,,"Benefits (eg. Speed, movement and comfort)",,Neither agree nor disagree,,,I knew other people like me had bought them,,It was clear that they corresponded best to my needs,,,,I knew they were best suited to help me achieve my goals,,Totally Agree,,,,Shock absorption,,,Bounce and cushioning,,Fit and comfort,,,Disagree,Disagree,Neither agree nor disagree,Totally Agree,0,0,21/02/2020 11:00,21/02/2020 11:04,3819d36fee
Young Professional,Male,6ym7wkx5lkq76ym74k8e8zmx0ojy54k8,Bordeaux,3 to 4 times a week,Sports Hall,Road,,,Advanced,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,I like to measure myself against others.,,,This helps me feel confident (e) and stronger (e).,,,,,I love discovering new environments.,,,,I like to improve myself and learn new skills.,"I want to improve my performance (eg. Speed, distance, endurance).",,I need to replace old shoes.,I want to race.,,,Running Shoes,Cushioning,Light,Resistant,Between 50 and 100 €,Agree,Design / Style,,,Technology,Footwear / Comfort,,"Benefits (eg. Speed, movement and comfort)",,Totally Agree,I saw a respected professional adopt the,,,,It was clear that they corresponded best to my needs,,I knew they were the most comfortable / provided the best footwear,,,,Totally Agree,,,,Shock absorption,Lightness,,,,Fit and comfort,,,Neither agree nor disagree,Disagree,Totally Agree,Agree,1,0,21/02/2020 09:33,21/02/2020 09:37,6ead99d18b
Young Professional,Male,yitz9725oaljm7pmbyitztbfcdy9pfws,Auxerre,Sometimes,,,Trail,Track,Intermediate,It helps me keep my mind and body in shape.,,,,,,,This helps me to improve my physical appearance.,,,,,,,,,,I need to replace old shoes.,,,,Running Shoes,Comfort,Drop,,Between 50 and 100 €,Agree,,,,,Footwear / Comfort,,"Benefits (eg. Speed, movement and comfort)",,Neither agree nor disagree,,,,I had a positive shopping experience this brand in the past,It was clear that they corresponded best to my needs,,,,,Council of a specialist dealer,Agree,,,,,Lightness,,,Price,Fit and comfort,,,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,1,0,21/02/2020 05:55,21/02/2020 06:00,967e3386d0
Young Professional,Male,389zkzhqx8hxkybdott389zkzbdn6iun,Berck,1 to 2 times per week,,Road,,,Intermediate,,This helps me to avoid getting sick and staying healthy.,,,,,,,,,,,,,,,,I need to replace old shoes.,,,,Running Shoes,Mild,Stable,Comfortable,Between 100 and 150 €,not agree at all,,,,Technology,Footwear / Comfort,,"Benefits (eg. Speed, movement and comfort)",,Agree,,,,,It was clear that they corresponded best to my needs,,I knew they were the most comfortable / provided the best footwear,,I knew they were best suited to help me achieve my goals,,Agree,,,,Shock absorption,,Maintenance / anti-pronation,,,Fit and comfort,,,Disagree,Disagree,Neither agree nor disagree,Agree,1,0,21/02/2020 03:30,21/02/2020 03:35,dc1feed0a5
Young Professional,Male,79ncuo9vduug57jgo79ncuc4nzm6jqft,Lyon,1 to 2 times per week,,Road,Trail,,Intermediate,It helps me keep my mind and body in shape.,,I like to measure myself against others.,,,,,This helps me to improve my physical appearance.,,,I love discovering new environments.,,,,I like to improve myself and learn new skills.,"I want to improve my performance (eg. Speed, distance, endurance).",,I need to replace old shoes.,,,,Running Shoes,Light,Soft,Bouncing,Between 100 and 150 €,Totally Agree,,,Durability,Technology,,,"Benefits (eg. Speed, movement and comfort)",,Neither agree nor disagree,,,,,It was clear that they corresponded best to my needs,,I knew they were the most comfortable / provided the best footwear,,I knew they were best suited to help me achieve my goals,,Agree,,Protection against injuries,,,Lightness,,Bounce and cushioning,,,,,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,1,0,20/02/2020 22:44,20/02/2020 22:48,f8546d3c8e
Young Professional,Male,5cc9t0442w1bsul55cc9t0bg6awbludz,Montpellier,5 times a week or more,,Road,Trail,Track,Advanced,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,I like to measure myself against others.,,,,,This helps me to improve my physical appearance.,,,I love discovering new environments.,,,,I like to improve myself and learn new skills.,"I want to improve my performance (eg. Speed, distance, endurance).",,I need to replace old shoes.,I want to race.,,,Running Shoes,Lightweight,Comfort,Speed,Between 100 and 150 €,Totally Agree,,,Durability,Technology,Footwear / Comfort,,"Benefits (eg. Speed, movement and comfort)",,Totally Agree,,,,I had a positive shopping experience this brand in the past,It was clear that they corresponded best to my needs,,,,I knew they were best suited to help me achieve my goals,,Totally Agree,,,,,Lightness,,Bounce and cushioning,,,Adaptation to a given surface (eg. Track rather than road),,Neither agree nor disagree,Neither agree nor disagree,not agree at all,Totally Agree,1,0,20/02/2020 22:39,20/02/2020 22:44,f376504e3b
Young Professional,Male,y5ozn1vr3kl5ejtfsry5ozkl3lzki0xm,Limoges,1 to 2 times per week,Sports Hall,Road,,Track,Intermediate,It helps me keep my mind and body in shape.,,,,"This helps me to focus on my diet, my nutrition and my hydration.",This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,,,,,,,,"I want to improve my performance (eg. Speed, distance, endurance).",,,,,,Running Shoes,Cushioning,Lightweight,Flexibility,Between 50 and 100 €,Disagree,,,,,Footwear / Comfort,,"Benefits (eg. Speed, movement and comfort)",,Neither agree nor disagree,,I knew they were good value for money,,,,,I knew they were the most comfortable / provided the best footwear,,I knew they were best suited to help me achieve my goals,,not agree at all,,Protection against injuries,,,Lightness,,Bounce and cushioning,,,,,Neither agree nor disagree,Disagree,Totally Agree,Neither agree nor disagree,1,0,20/02/2020 21:50,20/02/2020 21:55,47c3afa821
Young Professional,Male,0524e4yp45fu09m9wwfdpx99xqjf2d79,Paris,3 to 4 times a week,,Road,Trail,,Advanced,,,I like to measure myself against others.,,,,,This helps me to improve my physical appearance.,,,,,,,I like to improve myself and learn new skills.,,,I need to replace old shoes.,,,,Running Shoes,Drop,Lightness,Dynamism,Between 100 and 150 €,Totally Agree,,,,Technology,Footwear / Comfort,,"Benefits (eg. Speed, movement and comfort)",,Totally Agree,,,,,It was clear that they corresponded best to my needs,,,,I knew they were best suited to help me achieve my goals,I went to a specialty store,Totally Agree,,,,,Lightness,,Bounce and cushioning,,,Adaptation to a given surface (eg. Track rather than road),,Disagree,Disagree,Totally Agree,Totally Agree,0,0,20/02/2020 21:31,20/02/2020 21:34,c641d7fb4a
Young Professional,Male,iposw68vu7c7pp2q48iposza0uzmogyx,Merignac,3 to 4 times a week,,Road,Trail,Track,Advanced,It helps me keep my mind and body in shape.,,,,"This helps me to focus on my diet, my nutrition and my hydration.",,,This helps me to improve my physical appearance.,,,,,,,I like to improve myself and learn new skills.,,,I need to replace old shoes.,,,,I am not sure),Comfortable,,,Between 100 and 150 €,Totally Agree,,,Durability,,Footwear / Comfort,,"Benefits (eg. Speed, movement and comfort)",,Agree,,,,,It was clear that they corresponded best to my needs,,I knew they were the most comfortable / provided the best footwear,,I knew they were best suited to help me achieve my goals,,Agree,,,,Shock absorption,,,Bounce and cushioning,,Fit and comfort,,,Agree,Agree,Agree,Neither agree nor disagree,1,0,20/02/2020 21:24,20/02/2020 21:29,fdcf8916f6
Young Professional,Male,9glai57mud042v7fz7g0w9glaiwz0tcc,Maisons-Laffitte,3 to 4 times a week,,Road,,,Advanced,It helps me keep my mind and body in shape.,,I like to measure myself against others.,,,,,,,,,,,,I like to improve myself and learn new skills.,"I want to improve my performance (eg. Speed, distance, endurance).",,,I want to race.,,,Running Shoes,Lightweight,Innovative,Reactive,Between 50 and 100 €,Totally Agree,,,Durability,Technology,,,"Benefits (eg. Speed, movement and comfort)",,Totally Agree,,,,I had a positive shopping experience this brand in the past,It was clear that they corresponded best to my needs,,,,I knew they were best suited to help me achieve my goals,,Totally Agree,,,,,Lightness,,Bounce and cushioning,,,Adaptation to a given surface (eg. Track rather than road),,Agree,Disagree,Disagree,Agree,1,0,20/02/2020 20:58,20/02/2020 21:04,61b0fa6c77
Young Professional,Male,g7x69gpu4ym01o28ewt0g7x60moewcyt,Villeneuve d'Ascq,3 to 4 times a week,Sports Hall,,,,Advanced,It helps me keep my mind and body in shape.,,,,,,,,,,,,,,,,,,,"I set myself a goal of health, eg. losing weight.",,Running Shoes,Flexible,Pretty,Light,Between 50 and 100 €,Totally Agree,,,Durability,Technology,Footwear / Comfort,,"Benefits (eg. Speed, movement and comfort)",,Totally Agree,,,I knew other people like me had bought them,I had a positive shopping experience this brand in the past,,,I knew they were the most comfortable / provided the best footwear,,,,Totally Agree,Color / Design,,,,Lightness,,,,Fit and comfort,,,Totally Agree,Disagree,Disagree,Agree,1,0,20/02/2020 20:56,20/02/2020 21:02,a65913dd28
Young Professional,Male,zumlx9ze10xmlgwnywzumlx9e1y2zapq,Caen,Sometimes,,Road,,,Beginner,It helps me keep my mind and body in shape.,,,,,,,,,,I love discovering new environments.,,,,,,I plan to run more often.,,,,,Running Shoes,Lightweight,Support,And,Between 50 and 100 €,Totally Agree,Design / Style,Color pallet,,Technology,,,"Benefits (eg. Speed, movement and comfort)",,Agree,,I knew they were good value for money,I knew other people like me had bought them,,It was clear that they corresponded best to my needs,,,,,,Neither agree nor disagree,,,,Shock absorption,,Maintenance / anti-pronation,,,Fit and comfort,,,Totally Agree,Totally Agree,Neither agree nor disagree,Totally Agree,1,0,20/02/2020 19:20,20/02/2020 19:24,5169032c7c
Young Professional,Male,shrq6ct6axvshrqa0cvdg2h1sghvxaoa,Vannes,3 to 4 times a week,,Road,Trail,,Advanced,It helps me keep my mind and body in shape.,,I like to measure myself against others.,,,This helps me feel confident (e) and stronger (e).,,,,,,,,,I like to improve myself and learn new skills.,,I plan to run more often.,,,,,Running Shoes,Lightweight,Cushioning,Drop,Between 100 and 150 €,Totally Agree,,,,Technology,Footwear / Comfort,,"Benefits (eg. Speed, movement and comfort)",,Totally Agree,,I knew they were good value for money,I knew other people like me had bought them,,,,,,I knew they were best suited to help me achieve my goals,,Totally Agree,,,,,Lightness,,Bounce and cushioning,,Fit and comfort,,,Disagree,Disagree,Disagree,Totally Agree,0,0,20/02/2020 18:12,20/02/2020 18:16,1ac5ac2833
Young Professional,Male,6vkah10osrd4tmbe8886vkah1ivla20w,Paris,1 to 2 times per week,,Road,,,Advanced,,,,,,,,,,,,,,,I like to improve myself and learn new skills.,"I want to improve my performance (eg. Speed, distance, endurance).",,,,,,Running Shoes,Lightweight,Flexible,Reactive,Between 150 and 200 €,Totally Agree,,,,,,,"Benefits (eg. Speed, movement and comfort)",,Agree,,I knew they were good value for money,,I had a positive shopping experience this brand in the past,,,,,I knew they were best suited to help me achieve my goals,,Agree,,Protection against injuries,,,Lightness,,Bounce and cushioning,,,,,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,1,0,20/02/2020 16:13,20/02/2020 16:17,0711386a5d
Young Professional,Male,20bfhvn0fgx5cqy67k20bfh2g97srpam,versailles,3 to 4 times a week,,Road,Trail,Track,Advanced,,,I like to measure myself against others.,,,This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,,,,,,,,,,I need to replace old shoes.,,,,Running Shoes,Amortized,Dynamism,Sustainability,Between 100 and 150 €,Totally Agree,Design / Style,,,Technology,Footwear / Comfort,Price,,,Agree,,,,,It was clear that they corresponded best to my needs,,I knew they were the most comfortable / provided the best footwear,,I knew they were best suited to help me achieve my goals,,Neither agree nor disagree,,,Durability,Shock absorption,,,Bounce and cushioning,,,,,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,1,0,20/02/2020 15:44,20/02/2020 15:49,f875459d07
Young Professional,Male,g85vmzkd8md4pzd1corg85vmzyw52a11,hoary,3 to 4 times a week,,Road,Trail,,Beginner,,,,,"This helps me to focus on my diet, my nutrition and my hydration.",This helps me feel confident (e) and stronger (e).,,,,"I like to collect new equipment, clothes, shoes, etc.",,,,,,"I want to improve my performance (eg. Speed, distance, endurance).",I plan to run more often.,I need to replace old shoes.,,"I set myself a goal of health, eg. losing weight.",,Running Shoes,Scott,Black,Yellow,Between 100 and 150 €,Agree,Design / Style,,,,,,"Benefits (eg. Speed, movement and comfort)",,Neither agree nor disagree,,I knew they were good value for money,,I had a positive shopping experience this brand in the past,,I had seen advertising / promotions / consumer reviews,,,,,Neither agree nor disagree,Color / Design,,,Shock absorption,,,,,,Adaptation to a given surface (eg. Track rather than road),,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,1,0,20/02/2020 15:07,20/02/2020 15:14,adad3f22f6
Young Professional,Male,dmhlprayo7715rjsq8xndmhlpu5zb3nb,perpignan,3 to 4 times a week,,,Trail,,Advanced,It helps me keep my mind and body in shape.,,,,,This helps me feel confident (e) and stronger (e).,,,,,I love discovering new environments.,,,,I like to improve myself and learn new skills.,"I want to improve my performance (eg. Speed, distance, endurance).",,,,,,Running Shoes,Light,,,Between 100 and 150 €,Totally Agree,,,Durability,,Footwear / Comfort,,,,Totally Agree,,I knew they were good value for money,,,It was clear that they corresponded best to my needs,,,,I knew they were best suited to help me achieve my goals,,Totally Agree,,,Durability,Shock absorption,,Maintenance / anti-pronation,,,,,,Agree,Disagree,Disagree,Totally Agree,1,0,20/02/2020 12:57,20/02/2020 13:02,7151196af6
Young Professional,Male,z6wjbb9awzozfqx9z9ft5z6wjbblauym,Cergy,3 to 4 times a week,,Road,Trail,,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,I like to measure myself against others.,,"This helps me to focus on my diet, my nutrition and my hydration.",This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,,,I love discovering new environments.,,It's a way for me to contribute to a cause / charity which is of importance to me.,,I like to improve myself and learn new skills.,"I want to improve my performance (eg. Speed, distance, endurance).",,,I want to race.,,,Running Shoes,Design,Comfort,Performance,Between 100 and 150 €,Totally Agree,,Color pallet,,Technology,Footwear / Comfort,,"Benefits (eg. Speed, movement and comfort)",,Totally Agree,,,,I had a positive shopping experience this brand in the past,It was clear that they corresponded best to my needs,,I knew they were the most comfortable / provided the best footwear,,,,Totally Agree,,,,,,,Bounce and cushioning,Price,Fit and comfort,,,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,1,0,20/02/2020 12:54,20/02/2020 12:58,51defc985f
Young Professional,Male,3wyzw04hbj7110033wy2hfs1bhilfs4p,Chambéry,1 to 2 times per week,,,Trail,,Intermediate,,,,,"This helps me to focus on my diet, my nutrition and my hydration.",,,This helps me to improve my physical appearance.,,,I love discovering new environments.,,,,I like to improve myself and learn new skills.,"I want to improve my performance (eg. Speed, distance, endurance).",I plan to run more often.,I need to replace old shoes.,,,,Running Shoes,Lasting,Comfort,Performance,Between 100 and 150 €,Disagree,,,,Technology,,,"Benefits (eg. Speed, movement and comfort)",,Agree,,I knew they were good value for money,,,It was clear that they corresponded best to my needs,,,,I knew they were best suited to help me achieve my goals,,Agree,,,,,,,Bounce and cushioning,Price,,Adaptation to a given surface (eg. Track rather than road),,Agree,Agree,Agree,Totally Agree,1,0,20/02/2020 12:28,20/02/2020 12:34,18a66e5cee
Young Professional,Male,3xzq572mnrq0spbnib28xt3xzq55vi7z,Clermont-Ferrand,3 to 4 times a week,,Road,Trail,Track,Advanced,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,I like to measure myself against others.,,,,,,,"I like to collect new equipment, clothes, shoes, etc.",,,,,,"I want to improve my performance (eg. Speed, distance, endurance).",,,,,,Running Shoes,Lightweight,Cushioning,And,Between 50 and 100 €,Agree,Design / Style,,,Technology,,,,,Agree,,,,I had a positive shopping experience this brand in the past,,I had seen advertising / promotions / consumer reviews,I knew they were the most comfortable / provided the best footwear,,,,Agree,,,,Shock absorption,Lightness,,,,Fit and comfort,,,Neither agree nor disagree,Disagree,Disagree,Agree,1,0,20/02/2020 09:09,20/02/2020 09:14,a100138dd1
Young Professional,Male,6vzy4az8esfsbdyl4hf6vzy4azw2ogh5,Clermont-Ferrand,1 to 2 times per week,,Road,,Track,Beginner,It helps me keep my mind and body in shape.,,,,,,,,,,,,,,,,,I need to replace old shoes.,,,,Running Shoes,Comfortable,Lightweight,,Between 50 and 100 €,Agree,,,Durability,,,,,,Agree,I saw a respected professional adopt the,,I knew other people like me had bought them,,,,,A (e) ami (e) or even thought I had made the right choice,,,Agree,,,,Shock absorption,,,Bounce and cushioning,,Fit and comfort,,,Neither agree nor disagree,Disagree,Agree,Disagree,1,0,20/02/2020 08:48,20/02/2020 08:55,a46a98d4d7
Young Professional,Male,ez6nl5wewkvdj5pez6nl5lux420xqicd,Aix en Provence,1 to 2 times per week,,,Trail,,Advanced,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,,,,,,,,,,,,,,I need to replace old shoes.,,,,Running Shoes,Maintenance,Cushioning,Durability,Between 100 and 150 €,not agree at all,,,Durability,Technology,Footwear / Comfort,,,,Totally Agree,,,,I had a positive shopping experience this brand in the past,It was clear that they corresponded best to my needs,,I knew they were the most comfortable / provided the best footwear,,,,Totally Agree,,,,,Lightness,,Bounce and cushioning,,Fit and comfort,,,Neither agree nor disagree,Disagree,Disagree,Totally Agree,1,0,20/02/2020 08:36,20/02/2020 08:40,186cfe0317
Young Professional,Male,f3pyddb5gvkbhdc8tf3pyddh9beehan7,Le Mans,Sometimes,,Road,Trail,,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,,,,This helps me to improve my physical appearance.,,,,,,,,"I want to improve my performance (eg. Speed, distance, endurance).",I plan to run more often.,,,"I set myself a goal of health, eg. losing weight.",,Running Shoes,Support,Comfort,Beautiful,Between 100 and 150 €,Agree,Design / Style,,,Technology,,,"Benefits (eg. Speed, movement and comfort)",,Agree,,I knew they were good value for money,,I had a positive shopping experience this brand in the past,,,,,I knew they were best suited to help me achieve my goals,,Agree,,Protection against injuries,,Shock absorption,,Maintenance / anti-pronation,,,,,,Agree,Disagree,Neither agree nor disagree,Agree,1,0,20/02/2020 08:17,20/02/2020 08:23,bb0479fc2c
Young Professional,Male,d2tvousjak6vn0lra71d2tvoushelmyb,Dijon,3 to 4 times a week,,Road,,Track,Intermediate,It helps me keep my mind and body in shape.,,,,"This helps me to focus on my diet, my nutrition and my hydration.",,,This helps me to improve my physical appearance.,,,,,,,I like to improve myself and learn new skills.,"I want to improve my performance (eg. Speed, distance, endurance).",I plan to run more often.,,,,,Running Shoes,Dynamic,Light,Reaction,Between 50 and 100 €,Totally Agree,,,Durability,Technology,,,"Benefits (eg. Speed, movement and comfort)",,Agree,,I knew they were good value for money,,I had a positive shopping experience this brand in the past,,,,,I knew they were best suited to help me achieve my goals,,Totally Agree,,,Durability,,Lightness,,Bounce and cushioning,,,,,Agree,Agree,Totally Agree,Totally Agree,1,0,20/02/2020 07:37,20/02/2020 07:42,d1b25cada4
Young Professional,Male,cegetkhhzozw9gf1dh9cegetighblm2p,lanester,Sometimes,,Road,Trail,,Intermediate,It helps me keep my mind and body in shape.,,,,,This helps me feel confident (e) and stronger (e).,,,,,,,,,,,I plan to run more often.,I need to replace old shoes.,,,,I am not sure),Legere,,,Between 100 and 150 €,Agree,,Color pallet,,Technology,,Price,,,Neither agree nor disagree,,I knew they were good value for money,,,It was clear that they corresponded best to my needs,,I knew they were the most comfortable / provided the best footwear,,,,Neither agree nor disagree,Color / Design,Protection against injuries,,,Lightness,,,,,,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,0,0,20/02/2020 07:04,20/02/2020 07:13,e5b5cdf1e3
Young Professional,Male,6fa4u1lrvxxccko4g6fa9wu67okjz8h3,Soissons,1 to 2 times per week,,Road,,Track,Intermediate,It helps me keep my mind and body in shape.,,,,"This helps me to focus on my diet, my nutrition and my hydration.",This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,,,,,,,,"I want to improve my performance (eg. Speed, distance, endurance).",I plan to run more often.,,,"I set myself a goal of health, eg. losing weight.",,Sport shoes,Comfortable,Lightweight,Flexible,<50 €,Agree,Design / Style,,Durability,Technology,Footwear / Comfort,Price,"Benefits (eg. Speed, movement and comfort)",,Agree,,I knew they were good value for money,,,It was clear that they corresponded best to my needs,,,,I knew they were best suited to help me achieve my goals,,Agree,,,Durability,,Lightness,,Bounce and cushioning,,,,,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,1,0,20/02/2020 07:00,20/02/2020 07:07,a99b08db0f
Young Professional,Male,dbyain6cekbh39lu8dbyai62ev07iud1,Toulouse,3 to 4 times a week,,Road,Trail,,Intermediate,,,,,,,,,,,I love discovering new environments.,This allows me to spend time with friends.,,,,"I want to improve my performance (eg. Speed, distance, endurance).",,I need to replace old shoes.,I want to race.,,,Running Shoes,Light,Maintains,And,Between 50 and 100 €,Agree,,,,Technology,Footwear / Comfort,,"Benefits (eg. Speed, movement and comfort)",,Neither agree nor disagree,,,,I had a positive shopping experience this brand in the past,It was clear that they corresponded best to my needs,,,,I knew they were best suited to help me achieve my goals,,Agree,Color / Design,,,,Lightness,Maintenance / anti-pronation,,,,,,Agree,Neither agree nor disagree,Agree,Agree,1,0,20/02/2020 06:38,20/02/2020 06:44,34b340be89
