Segment,Sex,last_buy_shoes,run_frequency,where_run_1,where_run_2,where_run_3,where_run_4,running_experience,why_run_1,why_run_2,why_run_3,why_run_4,why_run_5,why_run_6,why_run_7,why_run_8,why_run_9,why_run_10,why_run_11,why_run_12,why_run_13,why_run_14,why_run_15,interest_buy_shoes_1,interest_buy_shoes_2,interest_buy_shoes_3,interest_buy_shoes_4,interest_buy_shoes_5,interest_buy_shoes_6,three_words_1,three_words_2,three_words_3,recent_spending,online_offline,online_search_1,online_search_2,online_search_3,online_search_4,online_search_5,online_search_6,where_usually,where_bought, most_important_choosing_1, most_important_choosing_2, most_important_choosing_3, most_important_choosing_4, most_important_choosing_5, most_important_choosing_6, most_important_choosing_7, most_important_choosing_8, most_important_choosing_9, most_important_choosing_10, most_important_choosing_11,confidence_right_shoes,more_confident_if_1,more_confident_if_2,more_confident_if_3,more_confident_if_4,more_confident_if_5,more_confident_if_6,more_confident_if_7,more_confident_if_8,more_confident_if_9,most_frustrating_online_1,most_frustrating_online_2,most_frustrating_online_3,most_frustrating_online_4,most_frustrating_online_5,most_frustrating_online_6,most_frustrating_online_7,most_frustrating_online_8,most_frustrating_online_9,most_frustrating_online_10,most_frustrating_online_11,most_frustrating_offline_1,most_frustrating_offline_2,most_frustrating_offline_3,most_frustrating_offline_4,most_frustrating_offline_5,most_frustrating_offline_6,most_frustrating_offline_7,most_frustrating_offline_8,most_frustrating_offline_9,most_frustrating_offline_10,most_frustrating_offline_11,most_frustrating_offline_12,most_frustrating_offline_13,need_expert_advice,age,occupation,parent
Young Professional,Male,0 to 3 months,3 to 4 times a week,Sports Hall,,,,Intermediate,It helps me keep my mind and body in shape.,,,,,,,,,,,,,,,,,I need to replace old shoes.,,,,Light,comfortable,durable,Between 50 and 100 €,At the store,Searches Online,,,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,,Lightness,Maintenance / anti-pronation,,,Fit and comfort,,,Neither agree nor disagree,,,,,,I had seen advertising / promotions / consumer reviews,,,,,Differentiate between different brands of running shoes,,,,,,,,,,,Differentiate between different brands of running shoes,Finding a suitable product for my personal needs,Making the difference between products with different prices,Staff poor knowledge about products,Presentation of unclear shoes,Not knowing exactly where to find the radius of running shoes,No system / tool to choose the right pair of shoes,Identify running shoes compared with running shoes,,,,,Strongly Agree,23-30 years,Employee,No
Mature Family,Female,More than 12 months,1 to 2 times per week,,,Trail,,Beginner,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,,,,,,,,,,,,,,I need to replace old shoes.,,,,Comfort,lightness,grip,Between 50 and 100 €,At the store,,,,research online and in-store visit,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,Shock absorption,,,,,Fit and comfort,Adaptation to a given surface (eg. Track rather than road),,Strongly Agree,,I knew they were good value for money,,,,,,,I knew they were best suited to help me achieve my goals,,,,,,,,,,no frustration,,,,,,,,,,,,,no frustration,,Strongly Agree,46-55 years,Employee,Yes
Mature Family,Female,7 to 12 months,1 to 2 times per week,,,,Track,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,,,This helps me to maintain a relationship with a loved one.,,,,,,,,,,,I need to replace old shoes.,,"I set myself a goal of health, eg. losing weight.",,Comfortable,Resistant,Aesthetics,Between 100 and 150 €,At the store,,Visit store,,,,,no preference,"Multibrand store, eg. Go Sport and Decathlon",,Protection against injuries,,,Lightness,,,,Fit and comfort,,,Neither agree nor disagree,,,,I had a positive shopping experience this brand in the past,It was clear that they corresponded best to my needs,,,,I knew they were best suited to help me achieve my goals,,,Finding a suitable product for my personal needs,,,,,,,,I can't try them on!,Differentiate between the different models of running shoes,,Finding a suitable product for my personal needs,,Staff poor knowledge about products,,,,Identify running shoes compared with running shoes,,Too many options to choose from,,,Strongly Agree,46-55 years,Employee,Yes
Mature Professional,Female,7 to 12 months,1 to 2 times per month,,Road,,,Intermediate,It helps me keep my mind and body in shape.,,,,,,,This helps me to improve my physical appearance.,,,,,,,,,,I need to replace old shoes.,,,,Comfort,resistance,quality,Between 100 and 150 €,At the store,,Visit store,,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,,,,Bounce and cushioning,,Fit and comfort,Adaptation to a given surface (eg. Track rather than road),,Strongly Agree,,,,,It was clear that they corresponded best to my needs,,,,,,,,,,Differences in language different websites in terms of product description,,,,,,,,,,Staff poor knowledge about products,,,,,,,,,Strongly Agree,31-36 years,Employee,No
Mature Family,Male,7 to 12 months,I do not practice running,,,Trail,,Beginner,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,,,,This helps me to improve my physical appearance.,,,,,,,,,,I need to replace old shoes.,,"I set myself a goal of health, eg. losing weight.",,Comfortable,light,sturdy,Between 100 and 150 €,At the store,Searches Online,,,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,Durability,,,,Bounce and cushioning,,Fit and comfort,,,Neither agree nor disagree,I saw a respected professional adopt the,,,,,I had seen advertising / promotions / consumer reviews,I knew they were the most comfortable,,,,,,,,,,,Limited product selection,,,,Differentiate between different brands of running shoes,,,Staff poor knowledge about products,Presentation of unclear shoes,,,,,,,,Strongly Agree,46-55 years,Employee,Yes
Empty Nester,Female,4 to 6 months,1 to 2 times per week,Sports Hall,,Trail,,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,,This helps me feel confident (e) and stronger (e).,,,,,I love discovering new environments.,,,,I like to improve myself and learn new skills.,,,I need to replace old shoes.,,,,Comfort,flexibility,cushioning,Between 100 and 150 €,At the store,,,,,no research,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,Shock absorption,Lightness,Maintenance / anti-pronation,,,,,,Agree,,I knew they were good value for money,,I had a positive shopping experience this brand in the past,,,,,,,Differentiate between different brands of running shoes,Finding a suitable product for my personal needs,,Identify running shoes compared with running shoes,,,,,,,,,,,,,,,,,,no frustration,,Agree,55+,Employee,Yes
Mature Family,Female,0 to 3 months,I do not practice running,,Road,,,Beginner,,,,,,,,,,,,This allows me to spend time with friends.,,,,,,I need to replace old shoes.,,,,Comfort,running,stability,Between 50 and 100 €,Online,,,Advice from friends or family members,,,,"Store brand, eg. Nike, Adidas","Store brand, eg. Nike",,,Durability,,,,,Price,Fit and comfort,,,Strongly Agree,,I knew they were good value for money,,,,,,,,,,,Making the difference between products with different prices,,,,,,no frustration,,,,,Making the difference between products with different prices,,,,,,,,,,Neither agree nor disagree,46-55 years,Employee,Yes
Mature Professional,Female,More than 12 months,1 to 2 times per month,,Road,,,Beginner,,This helps me to avoid getting sick and staying healthy.,,,,,,This helps me to improve my physical appearance.,,,,,,,,,,,,"I set myself a goal of health, eg. losing weight.",,Light,cushioning,breathable,Between 150 and 200 €,At the store,,,,,no research,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,Shock absorption,Lightness,,,,Fit and comfort,,,Agree,,,,,It was clear that they corresponded best to my needs,,,,,,,Finding a suitable product for my personal needs,Making the difference between products with different prices,,,,,,,,,,Finding a suitable product for my personal needs,Making the difference between products with different prices,,Presentation of unclear shoes,,No system / tool to choose the right pair of shoes,,Limited product selection,,,,Strongly Agree,46-55 years,Employee,No
Mature Family,Female,0 to 3 months,1 to 2 times per week,,Road,,,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,,,,This helps me to improve my physical appearance.,,,,,,,,,,I need to replace old shoes.,,,,Comfort,cushioning,support,Between 50 and 100 €,At the store,,Visit store,,research online and in-store visit,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,Shock absorption,,Maintenance / anti-pronation,,Price,,,,Agree,,,,I had a positive shopping experience this brand in the past,,,,,,Differentiate between the different models of running shoes,Differentiate between different brands of running shoes,,Making the difference between products with different prices,,,,,,,,Differentiate between the different models of running shoes,,Finding a suitable product for my personal needs,,,,,No system / tool to choose the right pair of shoes,,,Too many options to choose from,,,Agree,46-55 years,Woman / Husband,Yes
Young Professional,Female,0 to 3 months,3 to 4 times a week,,Road,,,Beginner,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,"This helps me to focus on my diet, my nutrition and my hydration.",This helps me feel confident (e) and stronger (e).,This helps me to maintain a relationship with a loved one.,,,,,This allows me to spend time with friends.,,,I like to improve myself and learn new skills.,,,I need to replace old shoes.,,,,Adapted,to,the,Between 50 and 100 €,Online,,,,,,Podiatrist following a gait analysis,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,,Lightness,,,Price,Fit and comfort,,,Agree,,I knew they were good value for money,,,It was clear that they corresponded best to my needs,,,,I knew they were best suited to help me achieve my goals,,,,,,,,,,,Finding the right size across the different brands,Differentiate between the different models of running shoes,,,,,,,,,Limited product selection,,,,Strongly Agree,23-30 years,Employee,No
Mature Family,Male,7 to 12 months,1 to 2 times per month,,Road,,,Intermediate,It helps me keep my mind and body in shape.,,,,,,,,,,,,,,,,,I need to replace old shoes.,,,,Light,dynamic,stable,Between 100 and 150 €,Online,,,,research online and in-store visit,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,,Lightness,Maintenance / anti-pronation,,,Fit and comfort,,,Neither agree nor disagree,,,,,It was clear that they corresponded best to my needs,,I knew they were the most comfortable,,,,,,,,,,,,no frustration,,,,,,,,,,,,,no frustration,,Agree,37-45 years,Employee,Yes
Mature Professional,Male,More than 12 months,I do not practice running,Sports Hall,,,,Beginner,It helps me keep my mind and body in shape.,,,,,,,,,,,,,,,,I plan to run more often.,I need to replace old shoes.,,,,Sturdiness,reliability,comfort,Between 100 and 150 €,At the store,,,,research online and in-store visit,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,Shock absorption,,Maintenance / anti-pronation,Bounce and cushioning,,,,,Strongly Agree,,I knew they were good value for money,,,,,,,,Differentiate between the different models of running shoes,,,,,,Product images will not have the advantages,,,,,,,,,,,,,,,,no frustration,,Strongly Agree,46-55 years,Employee,No
Mature Family,Female,4 to 6 months,1 to 2 times per week,Sports Hall,,Trail,,Beginner,It helps me keep my mind and body in shape.,,,,"This helps me to focus on my diet, my nutrition and my hydration.",,,This helps me to improve my physical appearance.,,,,,,,,,,I need to replace old shoes.,,,,Comfort,aesthetics,and,<50 €,At the store,,,,,no research,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,Shock absorption,,,,Price,,Adaptation to a given surface (eg. Track rather than road),,Strongly Agree,I saw a respected professional adopt the,I knew they were good value for money,,,It was clear that they corresponded best to my needs,,I knew they were the most comfortable,,,Differentiate between the different models of running shoes,,,,,,,,,,,,,,,,,,,,Limited product selection,Too many options to choose from,,,Strongly Agree,46-55 years,Employee,Yes
Young Professional,Female,More than 12 months,1 to 2 times per month,,Road,Trail,,Beginner,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,,This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,,,,,,,,,,I need to replace old shoes.,,,Suited to my environment.,Comfort,design,cushioning,Between 50 and 100 €,At the store,,Visit store,,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",Color / Design,,,,,,Bounce and cushioning,,Fit and comfort,,,Neither agree nor disagree,,,,,,I had seen advertising / promotions / consumer reviews,,,,,,,Making the difference between products with different prices,,,,Too many options to choose from,Limited product selection,,,,,Finding a suitable product for my personal needs,,,,,,,,,,,Strongly Agree,23-30 years,Employee,No
Retired,Female,0 to 3 months,1 to 2 times per week,,,Trail,,Beginner,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,"This helps me to focus on my diet, my nutrition and my hydration.",,,This helps me to improve my physical appearance.,,,,,,,,,,I need to replace old shoes.,,,,Comfort,,,Between 50 and 100 €,At the store,Searches Online,,,,,,no preference,"Multibrand store, eg. Go Sport and Decathlon",,,,,Lightness,,,Price,,Adaptation to a given surface (eg. Track rather than road),,Agree,,I knew they were good value for money,,I had a positive shopping experience this brand in the past,,,,,I knew they were best suited to help me achieve my goals,Differentiate between the different models of running shoes,,Finding a suitable product for my personal needs,,,,,,,,,,,,,,,Not knowing exactly where to find the radius of running shoes,,Identify running shoes compared with running shoes,,,,,Agree,55+,Retirement,Yes
Mature Family,Male,7 to 12 months,3 to 4 times a week,,Road,,,Intermediate,It helps me keep my mind and body in shape.,,,,"This helps me to focus on my diet, my nutrition and my hydration.",,,,,,,,,,,,,I need to replace old shoes.,,,,Comfortable,light,performance,Between 100 and 150 €,Online,,,Advice from friends or family members,research online and in-store visit,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,Durability,,Lightness,,,Price,,,,Strongly Agree,,,,,It was clear that they corresponded best to my needs,,I knew they were the most comfortable,,,,,,,,Differences in language different websites in terms of product description,,,Limited product selection,,,,,,,Staff poor knowledge about products,,,No system / tool to choose the right pair of shoes,,,,,,Strongly Agree,46-55 years,Employee,Yes
Mature Professional,Male,7 to 12 months,1 to 2 times per month,,,,Track,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,This helps me to improve my sex life.,"This helps me to focus on my diet, my nutrition and my hydration.",,This helps me to maintain a relationship with a loved one.,This helps me to improve my physical appearance.,,,,,,,,,,I need to replace old shoes.,,,,Light,comfortable,and,Between 50 and 100 €,Online,Searches Online,,,,,,no preference,"Store brand, eg. Nike",,,,,Lightness,,Bounce and cushioning,,Fit and comfort,,,Agree,,,I knew other people like me had bought them,I had a positive shopping experience this brand in the past,,I had seen advertising / promotions / consumer reviews,,,,,,Finding a suitable product for my personal needs,Making the difference between products with different prices,,,,,,,,,,,,,,,,,,,no frustration,,Agree,31-36 years,Employee,No
Mature Family,Female,More than 12 months,I do not practice running,,Road,,,Beginner,,,,,,,,This helps me to improve my physical appearance.,,,,,,,,,I plan to run more often.,,,"I set myself a goal of health, eg. losing weight.",,Comfortable,aesthetics,practical,<50 €,At the store,,Visit store,,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,Shock absorption,,,Bounce and cushioning,,Fit and comfort,,,Strongly Agree,,,,,,,I knew they were the most comfortable,,,,,Finding a suitable product for my personal needs,,Identify running shoes compared with running shoes,,,,,,,,,,Making the difference between products with different prices,,Presentation of unclear shoes,,,,Limited product selection,,,,Disagree,37-45 years,Employee,Yes
Young Professional,Female,7 to 12 months,3 to 4 times a week,,Road,,Track,Advanced,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,I like to measure myself against others.,,"This helps me to focus on my diet, my nutrition and my hydration.",This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,,,I love discovering new environments.,,,,,"I want to improve my performance (eg. Speed, distance, endurance).",,I need to replace old shoes.,I want to race.,,,Dynamism,lightness,stability,Between 100 and 150 €,At the store,Searches Online,,Advice from friends or family members,,,,no preference,"Multibrand store, eg. Go Sport and Decathlon",,,,Shock absorption,Lightness,,,,,Adaptation to a given surface (eg. Track rather than road),,Strongly Agree,I saw a respected professional adopt the,,I knew other people like me had bought them,,,,,,,,,Finding a suitable product for my personal needs,,,,,,,,,,,,Making the difference between products with different prices,,,,,,Limited product selection,,,,Agree,23-30 years,Employee,No
Mature Family,Male,More than 12 months,1 to 2 times per month,Sports Hall,Road,,,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,"This helps me to focus on my diet, my nutrition and my hydration.",,,This helps me to improve my physical appearance.,,,,,,,I like to improve myself and learn new skills.,,,,,"I set myself a goal of health, eg. losing weight.",,Cushioning,light,style,Between 50 and 100 €,At the store,,,,research online and in-store visit,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",Color / Design,,,,Lightness,,,Price,,,,Agree,,I knew they were good value for money,,,It was clear that they corresponded best to my needs,,,,,,,,,,,,,,no frustration,,,,,,,Presentation of unclear shoes,,,,Limited product selection,,,,Strongly Agree,37-45 years,Employee,Yes
Young Family,Female,0 to 3 months,3 to 4 times a week,,Road,,,Advanced,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,,This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,This helps me to spend time with my kids or show them an example.,,,,,,I like to improve myself and learn new skills.,,,I need to replace old shoes.,,,,Comfortable,dynamic,resistant,Between 100 and 150 €,Online,Searches Online,,,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,Durability,,,,Bounce and cushioning,,Fit and comfort,,,Strongly Agree,I saw a respected professional adopt the,,,,It was clear that they corresponded best to my needs,,,,I knew they were best suited to help me achieve my goals,Differentiate between the different models of running shoes,Differentiate between different brands of running shoes,Finding a suitable product for my personal needs,Making the difference between products with different prices,,,,,,,,,,,,Staff poor knowledge about products,,,No system / tool to choose the right pair of shoes,,,,,,Strongly Agree,31-36 years,Employee,Yes
Mature Family,Male,I do not have running shoes,5 times a week or more,,,Trail,,Advanced,It helps me keep my mind and body in shape.,,,,"This helps me to focus on my diet, my nutrition and my hydration.",,,,,,I love discovering new environments.,,It's a way for me to contribute to a cause / charity which is of importance to me.,,I like to improve myself and learn new skills.,,,,,,I don’t buy shoes.,Light,flexible,affordable,<50 €,Online,Searches Online,,,,,,no preference,"Store brand, eg. Nike",,,,,Lightness,,,Price,Fit and comfort,,,Agree,,,,I had a positive shopping experience this brand in the past,,,,,,,,,,,,,,,no frustration,,,,,,Staff poor knowledge about products,,,No system / tool to choose the right pair of shoes,,Limited product selection,Too many options to choose from,,,Strongly Agree,46-55 years,Employee,Yes
Mature Family,Male,0 to 3 months,3 to 4 times a week,,Road,,Track,Advanced,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,I like to measure myself against others.,,,,,This helps me to improve my physical appearance.,,,,,,,,,,I need to replace old shoes.,,,,Comfort,stability,reactiveness,Between 150 and 200 €,Online,,,,,no research,,no preference,"Store brand, eg. Nike",,Protection against injuries,,,Lightness,,Bounce and cushioning,,,,,Strongly Agree,,,,,,,,,I knew they were best suited to help me achieve my goals,,,,,,,,,,no frustration,,,,,,,,,,,Limited product selection,,,,Neither agree nor disagree,46-55 years,Employee,Yes
Young Family,Female,4 to 6 months,3 to 4 times a week,Sports Hall,Road,,,Beginner,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,"This helps me to focus on my diet, my nutrition and my hydration.",This helps me feel confident (e) and stronger (e).,,,,,,,,,,"I want to improve my performance (eg. Speed, distance, endurance).",,,,,,Comfortable,effective,adapted,<50 €,At the store,,,,,no research,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",Color / Design,,,,,,,Price,Fit and comfort,,,Strongly Agree,,I knew they were good value for money,,,It was clear that they corresponded best to my needs,,I knew they were the most comfortable,,,,,,Making the difference between products with different prices,,,Product images will not have the advantages,,,,,Differentiate between the different models of running shoes,,Finding a suitable product for my personal needs,,,,,,,,,,,Strongly Agree,23-30 years,Employee,Yes
Mature Family,Male,0 to 3 months,3 to 4 times a week,,,Trail,,Advanced,It helps me keep my mind and body in shape.,,,,,,,,This helps me to spend time with my kids or show them an example.,"I like to collect new equipment, clothes, shoes, etc.",I love discovering new environments.,This allows me to spend time with friends.,,,,,,I need to replace old shoes.,,,Replacement for my old shoes.,Comfort,drop,grip,Between 100 and 150 €,At the store,,Visit store,Advice from friends or family members,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",Color / Design,,,,,,Bounce and cushioning,,Fit and comfort,,,Strongly Agree,,,,I had a positive shopping experience this brand in the past,,,I knew they were the most comfortable,,,,,Finding a suitable product for my personal needs,Making the difference between products with different prices,,,,,,no frustration,,,,,Making the difference between products with different prices,,,,,,,,no frustration,,Agree,46-55 years,Employee,Yes
Full Time Student,Female,7 to 12 months,1 to 2 times per month,,Road,,Track,Intermediate,It helps me keep my mind and body in shape.,,,,"This helps me to focus on my diet, my nutrition and my hydration.",This helps me feel confident (e) and stronger (e).,,,,,,,,,I like to improve myself and learn new skills.,,,I need to replace old shoes.,,,,Comfortable,flexible,nice,Between 50 and 100 €,At the store,,,,,,Advice on the brand from a podiatrist,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,Shock absorption,,,Bounce and cushioning,,Fit and comfort,,,Agree,,,,,It was clear that they corresponded best to my needs,,I knew they were the most comfortable,,,,,,,,,,,,,Not being able to try them on,,Differentiate between different brands of running shoes,,,Staff poor knowledge about products,,,,,,,,,Strongly Agree,16-22 years,Student,No
Young Professional,Female,0 to 3 months,1 to 2 times per month,Sports Hall,,,,Intermediate,It helps me keep my mind and body in shape.,,,,"This helps me to focus on my diet, my nutrition and my hydration.",,,,,,,,,,,,,,,"I set myself a goal of health, eg. losing weight.",,Sturdy,light,and,Between 50 and 100 €,At the store,Searches Online,Visit store,,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",Color / Design,,,,Lightness,,,Price,,,,Agree,I saw a respected professional adopt the,,,,It was clear that they corresponded best to my needs,,,,,,,Finding a suitable product for my personal needs,,,,Product images will not have the advantages,,,,,,,,,,,,,Identify running shoes compared with running shoes,,,,,Strongly Agree,23-30 years,Employed part time,No
Young Professional,Male,0 to 3 months,3 to 4 times a week,,Road,Trail,,Intermediate,It helps me keep my mind and body in shape.,,I like to measure myself against others.,,,This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,,,I love discovering new environments.,This allows me to spend time with friends.,,,I like to improve myself and learn new skills.,"I want to improve my performance (eg. Speed, distance, endurance).",,I need to replace old shoes.,I want to race.,,,Dynamism,comfort,nice,Between 100 and 150 €,At the store,,,,research online and in-store visit,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",Color / Design,,,,Lightness,,Bounce and cushioning,,,,,Strongly Agree,,,,I had a positive shopping experience this brand in the past,It was clear that they corresponded best to my needs,I had seen advertising / promotions / consumer reviews,,,I knew they were best suited to help me achieve my goals,,,Finding a suitable product for my personal needs,,,Differences in language different websites in terms of product description,,,,no frustration,,Differentiate between the different models of running shoes,Differentiate between different brands of running shoes,Finding a suitable product for my personal needs,,Staff poor knowledge about products,Presentation of unclear shoes,,No system / tool to choose the right pair of shoes,,Limited product selection,,,,Neither agree nor disagree,23-30 years,Employee,No
Mature Family,Male,0 to 3 months,1 to 2 times per month,,Road,,,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,,,,,,,,This allows me to spend time with friends.,,,,,,I need to replace old shoes.,,,,Light,,,Between 50 and 100 €,At the store,,Visit store,,,,,"Multibrand store, eg. Go Sport and Decathlon","Store brand, eg. Nike",,,,Shock absorption,Lightness,,Bounce and cushioning,,,,,Strongly Agree,,I knew they were good value for money,,,,,,,,,Differentiate between different brands of running shoes,Finding a suitable product for my personal needs,,,,,,,,,,,,,,Presentation of unclear shoes,,,,Limited product selection,,,,Neither agree nor disagree,37-45 years,Employee,Yes
Mature Family,Male,0 to 3 months,1 to 2 times per month,Sports Hall,,,,Beginner,It helps me keep my mind and body in shape.,,,,,,,This helps me to improve my physical appearance.,,,,,,,,,,I need to replace old shoes.,,,,Comfortable,,,Between 50 and 100 €,At the store,,Visit store,,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,Shock absorption,,,Bounce and cushioning,Price,,,,Agree,,,,,,,,,I knew they were best suited to help me achieve my goals,,,,,,,,Too many options to choose from,,,,,,,,,,,No system / tool to choose the right pair of shoes,Identify running shoes compared with running shoes,,,,,Agree,46-55 years,Employee,Yes
Mature Professional,Female,4 to 6 months,1 to 2 times per week,,Road,Trail,Track,Beginner,It helps me keep my mind and body in shape.,,,,,This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,,,,,,,I like to improve myself and learn new skills.,"I want to improve my performance (eg. Speed, distance, endurance).",,,,"I set myself a goal of health, eg. losing weight.",Because my back has particular needs.,Lightness,cushioning,resistance,Between 100 and 150 €,At the store,,,Advice from friends or family members,research online and in-store visit,,Advice from my doctor,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,Shock absorption,Lightness,,,,Fit and comfort,,,Disagree,,I knew they were good value for money,,,,,,,,,Differentiate between different brands of running shoes,Finding a suitable product for my personal needs,Making the difference between products with different prices,,Differences in language different websites in terms of product description,,,,,,,,,Making the difference between products with different prices,Staff poor knowledge about products,Presentation of unclear shoes,,,,Limited product selection,,,,Strongly Agree,37-45 years,Employee,No
Mature Family,Male,4 to 6 months,1 to 2 times per month,,Road,,,Beginner,It helps me keep my mind and body in shape.,,I like to measure myself against others.,,"This helps me to focus on my diet, my nutrition and my hydration.",,,This helps me to improve my physical appearance.,,,,,,,,"I want to improve my performance (eg. Speed, distance, endurance).",,I need to replace old shoes.,,"I set myself a goal of health, eg. losing weight.",,Comfort,performance,design,Between 100 and 150 €,At the store,,,,research online and in-store visit,,,"Multibrand store, eg. Go Sport and Decathlon","Store brand, eg. Nike",,,,,,,Bounce and cushioning,Price,Fit and comfort,,,Agree,I saw a respected professional adopt the,I knew they were good value for money,,I had a positive shopping experience this brand in the past,,,,,,,,,,,,,,,no frustration,,,,,,,,,,,,,no frustration,,Strongly Agree,37-45 years,Employee,Yes
Empty Nester,Female,More than 12 months,1 to 2 times per week,,Road,,,Intermediate,It helps me keep my mind and body in shape.,,,,,,,This helps me to improve my physical appearance.,,,,,,,,,,I need to replace old shoes.,,,,Comfort,flexibility,resistance,Between 100 and 150 €,At the store,,Visit store,,,,,"Store brand, eg. Nike, Adidas","Store brand, eg. Nike",,,Durability,Shock absorption,,,,,,Adaptation to a given surface (eg. Track rather than road),,Neither agree nor disagree,,,,I had a positive shopping experience this brand in the past,It was clear that they corresponded best to my needs,,,,,,,,,,,,Too many options to choose from,,,,,,Finding a suitable product for my personal needs,,Staff poor knowledge about products,,,No system / tool to choose the right pair of shoes,,,,,,Strongly Agree,55+,Employee,Yes
Mature Family,Female,More than 12 months,I do not practice running,Sports Hall,Road,,,Beginner,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,,,,This helps me to improve my physical appearance.,,,,,,,,,I plan to run more often.,,,,,Comfort,light,nice,Between 50 and 100 €,At the store,,,,,no research,,no preference,"Multibrand store, eg. Go Sport and Decathlon",Color / Design,,,,Lightness,,,,Fit and comfort,,,Agree,,I knew they were good value for money,,,,,,,I knew they were best suited to help me achieve my goals,Differentiate between the different models of running shoes,,Finding a suitable product for my personal needs,,,,,,,,,,Differentiate between different brands of running shoes,,,,,,,,,,,,Agree,37-45 years,Employee,Yes
Mature Professional,Female,7 to 12 months,1 to 2 times per week,,Road,,,Advanced,It helps me keep my mind and body in shape.,,,,,,,,,,,,,,,,,I need to replace old shoes.,,,,Light,dynamic,cushioning,Between 150 and 200 €,At the store,,,,,no research,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,,Lightness,Maintenance / anti-pronation,Bounce and cushioning,,,,,Agree,,,,I had a positive shopping experience this brand in the past,,,,,,,,,Making the difference between products with different prices,,,,,,,,,,,,Staff poor knowledge about products,,,,,,,,,Agree,46-55 years,Employee,No
